,month,year,polygon_id,ndvi,evi
104,1,2014,1,0.8477907180786133,2.1715019762064935
105,1,2014,2,0.8532899916172028,2.238884189252869
106,1,2014,3,0.8429211676120758,2.156404917572609
107,1,2014,4,0.8762626945972443,2.2068597390916382
108,1,2014,5,0.8626076579093933,2.216906035260674
109,1,2014,6,0.7107629179954529,1.4992703217440866
110,1,2014,7,0.7483258843421936,1.6317021664496623
111,1,2014,8,0.7697663009166718,1.657127811859266
112,1,2015,1,0.8468335866928101,2.18132377774688
113,1,2015,2,0.8465547859668732,2.2337811629939903
114,1,2015,3,0.8403319716453552,2.154901990665427
115,1,2015,4,0.8453622460365295,2.1266740306424134
116,1,2015,5,0.8569592535495758,2.1933082550338616
117,1,2015,6,0.7050357758998871,1.4774710608558697
118,1,2015,7,0.7208257913589478,1.5523964914533988
