,month,polygon_id,year,temperature,radiation,fpar,datetime
886,9,5,2014,29.051393415518003,18081991.9806591,90.12457103637611,2014-09-01
887,9,5,2015,30.448185787481545,18394868.523995537,90.07328869047619,2015-09-01
888,9,5,2016,29.18093015980705,15752218.197761195,89.59673852957435,2016-09-01
889,9,5,2017,30.27937701188241,18707338.014534883,89.78851744186046,2017-09-01
890,9,5,2018,29.60444943442359,17593620.908620026,89.46916774471755,2018-09-01
891,9,5,2019,29.89775508420424,18634466.920533545,89.8652507799376,2019-09-01
892,9,5,2020,31.03948624114159,18805965.78703144,89.72773075372832,2020-09-01
893,9,5,2021,28.763078393511066,17285625.495568607,89.8821957945536,2021-09-01
894,9,5,2022,29.795846750836375,6985553.644758598,89.8265306122449,2022-09-01
895,9,6,2010,39.09904782158178,20704839.018525843,39.68348570089076,2010-09-01
896,9,6,2011,38.1957329408562,20798401.648726556,42.61354378818737,2011-09-01
897,9,6,2012,38.02559222497251,19716035.92973456,41.66064257028113,2012-09-01
898,9,6,2013,38.33565777986928,18355864.634257134,41.51006898086337,2013-09-01
899,9,6,2014,38.320952698822246,19077740.522235576,44.23478260869565,2014-09-01
900,9,6,2015,39.52152126417627,19177821.533302438,42.068914783427495,2015-09-01
901,9,6,2016,39.29563941613713,18008559.110539388,39.759758694109294,2016-09-01
902,9,6,2017,39.32718368412068,20473753.2815232,38.90988567585743,2017-09-01
903,9,6,2018,38.43582321537389,19021591.083611306,43.05261001872659,2018-09-01
904,9,6,2019,40.47255884249476,19872674.846115008,40.87488662131519,2019-09-01
905,9,6,2020,38.7901055633202,20077782.53093729,44.34528574605292,2020-09-01
906,9,6,2021,39.59610348357735,19673445.81885908,40.750691823899366,2021-09-01
907,9,6,2022,37.41026930387489,7453981.890942797,42.48316384180791,2022-09-01
908,9,7,2010,37.883436189623104,21551855.73222553,33.373236331569665,2010-09-01
909,9,7,2011,37.46548046233937,22094303.237711325,35.14078975683237,2011-09-01
910,9,7,2012,39.37862437541268,21743686.395341434,30.144781144781145,2012-09-01
911,9,7,2013,40.385948591948484,20148014.7444469,32.088581833761786,2013-09-01
912,9,7,2014,39.79699097814011,20412845.49919319,33.6162604233483,2014-09-01
913,9,7,2015,41.694545089026796,21513383.945395827,32.13574660633484,2015-09-01
914,9,7,2016,39.50985009695789,19788505.990538806,35.88208253153731,2016-09-01
915,9,7,2017,38.89927013003402,21029880.206835687,32.32718228498074,2017-09-01
916,9,7,2018,40.55231775645814,20118066.561231345,34.06295464270433,2018-09-01
917,9,7,2019,40.53088778301854,21070877.32134865,33.27585099550417,2019-09-01
918,9,7,2020,38.937541860013035,21421597.401493255,36.438450010704344,2020-09-01
919,9,7,2021,40.361766901708855,20783204.25688244,34.03549978549978,2021-09-01
920,9,7,2022,38.610179513488816,8524550.163691431,35.95774497218656,2022-09-01
921,9,8,2010,30.986485783846668,16620391.841115762,42.93812548113934,2010-09-01
922,9,8,2011,31.383231111139956,17588750.394681383,47.38879003558719,2011-09-01
923,9,8,2012,32.33305585663122,15797694.332180874,47.0422936616507,2012-09-01
924,9,8,2013,34.29849739195234,14432656.60872881,47.14269746646796,2013-09-01
925,9,8,2014,33.34870302583701,16678508.033376547,43.48598981077147,2014-09-01
926,9,8,2015,33.82522139041559,19736799.822968323,47.727428180574556,2015-09-01
927,9,8,2016,33.4842532190226,16639900.185146444,45.74622268712226,2016-09-01
928,9,8,2017,31.388790857375675,13643132.616979836,44.067674915979225,2017-09-01
929,9,8,2018,33.22148345189181,17760434.1584486,46.32866575591986,2018-09-01
930,9,8,2019,31.342010818072477,16320772.174342558,49.59507214477867,2019-09-01
931,9,8,2020,32.00823819351784,18064233.185,54.23264367816092,2020-09-01
932,9,8,2021,33.15750867973104,18222092.039980657,46.524745016226234,2021-09-01
933,9,8,2022,31.60292250953892,6117675.797801612,49.26519644180875,2022-09-01
934,10,1,2010,29.960624358293533,16387521.157731181,88.08255885997521,2010-10-01
935,10,1,2011,29.882853363567676,16155542.072819231,88.40684051398337,2011-10-01
936,10,1,2012,30.411351915380244,15591200.259742174,89.18367638650658,2012-10-01
937,10,1,2013,30.194102880658466,16291893.370558888,89.15619154508045,2013-10-01
938,10,1,2014,30.167054794520578,15012382.055352556,83.91487279843444,2014-10-01
939,10,1,2015,30.74989460981499,15692915.459114794,89.50120675784393,2015-10-01
940,10,1,2016,30.015356603422646,15260572.0796875,88.54765625,2016-10-01
941,10,1,2017,30.449878472222252,14878246.256510416,88.44140625,2017-10-01
942,10,1,2018,30.280853308364573,14677875.320590474,88.55259051186017,2018-10-01
943,10,1,2019,30.177895738203986,14740178.198237728,87.9334094368341,2019-10-01
944,10,1,2020,30.060383191395818,17236346.366121564,88.06451161488944,2020-10-01
945,10,1,2021,30.92839072405742,15960728.454231575,87.74090757424091,2021-10-01
946,10,1,2022,29.951450189891936,5102344.953653422,84.58466257668712,2022-10-01
947,10,2,2010,30.52984149659867,16272668.847597163,88.06120448179271,2010-10-01
948,10,2,2011,29.158709513435035,15660239.536960443,84.20007262164125,2011-10-01
949,10,2,2012,30.2303658680864,15456347.649227763,87.44713102632358,2012-10-01
950,10,2,2013,30.155165790396104,16653521.393430434,87.77287066246056,2013-10-01
951,10,2,2014,30.144128277153587,14995421.660536634,87.67571785268414,2014-10-01
952,10,2,2015,30.18471912013539,15849878.764316307,86.91144952058657,2015-10-01
953,10,2,2016,29.75845600732604,15348051.592956731,86.7349358974359,2016-10-01
954,10,2,2017,30.887057817324912,15622660.273904117,88.0480659840728,2017-10-01
