,month,year,polygon_id,precipitation,temperature,radiation
31,1,2022,8,101.57302411378998,29.129285369674214,18712984.859210525
32,2,2019,1,191.69081616130742,30.00440909090912,12760233.104545455
33,2,2019,2,245.7333742911834,29.796627892030877,15028784.359897172
34,2,2019,3,232.96991708957697,29.125184388185684,13145748.594936708
35,2,2019,4,196.90138849718818,25.675517241379342,12037715.103448275
36,2,2019,5,293.0947047388181,28.434387369791697,14554818.322265625
37,2,2019,6,207.98162803499534,31.634292340083004,17437948.390117034
38,2,2019,7,187.72092723785184,31.66004593693614,18630723.80346821
39,2,2019,8,78.44323906057367,32.43177944482421,20074441.69736842
40,2,2020,1,225.75609152752,29.35564144144147,13800881.917567568
41,2,2020,2,201.73005164248272,30.042464389911625,15016643.383495146
42,2,2020,3,142.21648717687668,28.648755551000917,14761511.274031565
43,2,2020,4,159.65518632861676,27.412129541864168,13496950.959241707
44,2,2020,5,294.33416234851984,28.16913123844735,14740010.214417744
45,2,2020,6,210.03542089438704,31.024242526498654,16755283.81410679
46,2,2020,7,180.34146044318823,30.567190394370833,17644449.56443299
47,2,2020,8,52.04947077092873,31.32587762380276,19385507.09700428
48,2,2021,1,141.4454024562603,29.217739837398405,14941998.39804878
49,2,2021,2,378.46166446253284,28.798721099434147,15392952.873080032
50,2,2021,3,276.69182653455374,28.554151007868615,14401862.684660962
51,2,2021,4,429.8392789442895,26.162099447513842,13572587.845303867
52,2,2021,5,391.80852430028125,27.84218045112785,12762011.864661654
53,2,2021,6,335.111907932702,29.68880839895016,13661436.311811024
54,2,2021,7,178.91630199413368,31.648711111111137,16069784.931884058
55,2,2021,8,189.4394649926816,28.309918478260897,15266615.391304348
56,2,2022,1,292.95198116592456,28.74850386100389,14390146.942084942
57,2,2022,2,462.09815992292147,28.996411781365083,13941457.714528462
58,2,2022,3,366.992565593002,26.716708463949875,12057395.053291537
59,2,2022,4,325.34116528374807,25.689714285714317,12498157.314285714
60,2,2022,5,329.23036844655087,27.25664588137012,15071133.281403508
61,2,2022,6,204.3230982382633,30.61102125577273,16291379.30507386
62,2,2022,7,73.18593055296955,28.88225426436123,18458489.862556197
63,2,2022,8,136.66006932417767,28.765460766186614,18030660.072207086
64,3,2019,1,430.2125541792003,30.864306829765574,13468548.54587156
65,3,2019,2,135.21609875863493,29.281141335636182,15252778.472366149
66,3,2019,3,234.56398319711963,29.093813237787053,15780130.384789644
67,3,2019,4,263.5346433247361,26.86722352024925,15637597.892523365
68,3,2019,5,326.1298701506789,28.47819892473121,14712178.478494624
69,3,2019,6,286.70291436010416,30.901816273932283,15833826.801546391
70,3,2019,7,157.15874804430283,29.891818592660933,17534932.017948717
71,3,2019,8,93.2328150805674,32.949530075188,16638641.267105263
72,3,2020,1,309.80283776159445,29.665294659300212,14708869.673273481
73,3,2020,2,390.60712119529967,30.42176178812005,14876372.108887019
74,3,2020,3,256.9062084669343,28.936615071639764,14956496.787191758
75,3,2020,4,253.77516535249623,29.950829545454575,15060380.70340909
76,3,2020,5,358.003092107142,28.86404020752273,13010001.28331712
77,3,2020,6,255.97638024360114,29.6835231069978,14073164.60275016
78,3,2020,7,184.72674205350356,28.005538881309718,14260918.422322646
79,3,2020,8,152.79054930421307,27.57981145499825,12592702.237259872
80,3,2021,1,427.63335135795853,29.00264393939397,13656442.411363637
81,3,2021,2,156.92752306671434,29.090127713920847,13872935.300287357
82,3,2021,3,344.1338680277408,28.861746870109574,11738650.088615023
83,3,2021,4,492.3010663203208,27.634981549815528,12673449.454335794
84,3,2021,5,399.48050996873786,27.732123463652677,14715998.802367056
85,3,2021,6,128.26766667014513,30.465777920726026,18688141.9724359
86,3,2021,7,40.60756980343125,29.25599806191695,19469532.439102564
87,3,2021,8,44.88395453950292,30.597103466507935,18887955.714473683
88,3,2022,1,451.47677365189077,28.08402515723273,13270259.659198113
89,3,2022,2,408.9739639647025,28.724918546365945,12956262.578477444
90,3,2022,3,361.7622106561855,28.09057142857146,11719045.256887754
91,3,2022,4,490.27551441074525,27.117770897832848,11269245.976973685
92,3,2022,5,404.38779992061654,27.88464547357408,15245452.101157771
93,3,2022,6,170.53159522009202,29.697482034596486,18142385.543910258
94,3,2022,7,71.41446556343033,28.939431111259236,18115457.325408917
95,3,2022,8,36.22732859589363,28.131470248406753,17305841.787226778
