,polygon_id,year,month,pai,date
5_12_2021,5,2021,12,3.768619002982301,12-21
6_12_2021,6,2021,12,0.8064217504489347,12-21
7_12_2021,7,2021,12,0.5857663931749304,12-21
8_12_2021,8,2021,12,1.0469718508432544,12-21
1_1_2022,1,2022,1,4.026786116862477,01-22
2_1_2022,2,2022,1,4.096700102436661,01-22
3_1_2022,3,2022,1,3.7975767569868863,01-22
4_1_2022,4,2022,1,4.0042452275055735,01-22
5_1_2022,5,2022,1,3.751014096124012,01-22
6_1_2022,6,2022,1,0.943051640645891,01-22
7_1_2022,7,2022,1,0.5451465947195037,01-22
8_1_2022,8,2022,1,1.169189595048394,01-22
1_2_2022,1,2022,2,3.5835031360039333,02-22
2_2_2022,2,2022,2,3.63553873216719,02-22
3_2_2022,3,2022,2,3.2374400069483777,02-22
4_2_2022,4,2022,2,3.7656414764178243,02-22
5_2_2022,5,2022,2,3.477090870290354,02-22
6_2_2022,6,2022,2,0.8057967055727919,02-22
7_2_2022,7,2022,2,0.5276263449299972,02-22
8_2_2022,8,2022,2,1.1310374348723784,02-22
1_3_2022,1,2022,3,3.584726232262619,03-22
2_3_2022,2,2022,3,3.4892668694728526,03-22
3_3_2022,3,2022,3,2.1605454520666667,03-22
4_3_2022,4,2022,3,3.9239612281082628,03-22
5_3_2022,5,2022,3,3.804150675356004,03-22
6_3_2022,6,2022,3,0.8277066264093679,03-22
7_3_2022,7,2022,3,0.5072740915612675,03-22
8_3_2022,8,2022,3,1.0018972776255948,03-22
1_4_2022,1,2022,4,3.9079385162963476,04-22
2_4_2022,2,2022,4,3.5866999876948826,04-22
3_4_2022,3,2022,4,4.060877430548154,04-22
4_4_2022,4,2022,4,3.8872983006823887,04-22
5_4_2022,5,2022,4,3.711247897202017,04-22
6_4_2022,6,2022,4,0.8050724741788444,04-22
7_4_2022,7,2022,4,0.49934184522733516,04-22
8_4_2022,8,2022,4,1.1838312912465454,04-22
1_5_2022,1,2022,5,3.993802987033511,05-22
2_5_2022,2,2022,5,3.648934273384409,05-22
3_5_2022,3,2022,5,3.8729048569619877,05-22
4_5_2022,4,2022,5,3.74447712876079,05-22
5_5_2022,5,2022,5,3.953602774512069,05-22
6_5_2022,6,2022,5,0.8483311964265792,05-22
7_5_2022,7,2022,5,0.542414315365541,05-22
8_5_2022,8,2022,5,1.127660436982151,05-22
4_6_2022,4,2022,6,3.3176071104686455,06-22
5_6_2022,5,2022,6,3.586820152000454,06-22
6_6_2022,6,2022,6,1.7750103932227272,06-22
7_6_2022,7,2022,6,0.4835581021192086,06-22
8_6_2022,8,2022,6,1.2071675730328955,06-22
6_7_2022,6,2022,7,,07-22
7_7_2022,7,2022,7,,07-22
8_7_2022,8,2022,7,,07-22
6_8_2022,6,2022,8,,08-22
7_8_2022,7,2022,8,,08-22
8_8_2022,8,2022,8,,08-22
6_9_2022,6,2022,9,,09-22
7_9_2022,7,2022,9,,09-22
8_9_2022,8,2022,9,,09-22
6_10_2022,6,2022,10,,10-22
7_10_2022,7,2022,10,,10-22
8_10_2022,8,2022,10,,10-22
6_11_2022,6,2022,11,,11-22
7_11_2022,7,2022,11,,11-22
8_11_2022,8,2022,11,,11-22
6_12_2022,6,2022,12,,12-22
7_12_2022,7,2022,12,,12-22
8_12_2022,8,2022,12,,12-22
