,pai,rh100,year,month,polygon_id,number,date,pai_interpolated,rh100_interpolated
57,3.6989750301471847,2321.6285567328464,2019,11,2,48605,11-19,3.6989750301471847,2321.6285567328464
65,,,2019,12,2,900,12-19,,
73,3.484837572757028,2067.4902116021303,2020,1,2,27788,01-20,3.484837572757028,2067.4902116021303
81,3.5863845058716013,2140.9024070021883,2020,2,2,54840,02-20,3.6308378015611913,2222.0910532058274
89,3.7195873997359774,2341.6345686097675,2020,3,2,73182,03-20,3.7195873997359774,2341.6345686097675
97,,,2020,4,2,1583,04-20,,
104,3.5021703597408793,2210.9496843464162,2020,5,2,63519,05-20,3.5021703597408793,2210.9496843464162
112,3.6646170508756963,2244.957076354936,2020,6,2,76904,06-20,3.5897383515238674,2308.7957905241706
119,3.5821661866492978,2738.04950609662,2020,7,2,25916,07-20,3.632862836752501,2313.6684662576686
126,3.584865742565918,2070.567921718783,2020,8,2,23505,08-20,3.5696375749632887,2276.233559711629
133,3.554890451889678,2122.109442848193,2020,9,2,46289,09-20,3.554890451889678,2122.109442848193
140,,,2020,10,2,3453,10-20,,
147,2.992307693989703,1841.2557926500701,2020,11,2,18558,11-20,2.992307693989703,1841.2557926500701
155,3.265941839962464,2098.681826088637,2020,12,2,51739,12-20,3.435794802014567,2207.747982163121
163,3.7461373837447707,2434.681182413334,2021,1,2,54837,01-21,3.5178735930104517,2245.1569661863923
171,3.5295503133546604,2181.639426765967,2021,2,2,44310,02-21,3.6447511172912614,2287.702695572557
179,3.629441471767051,2174.6827553731796,2021,3,2,29731,03-21,3.629441471767051,2174.6827553731796
186,,,2021,4,2,3729,04-21,,
193,3.4260321549003216,2447.56041357145,2021,5,2,32981,05-21,3.4260321549003216,2447.56041357145
201,3.4718194445181103,2107.083338759882,2021,6,2,76783,06-21,3.473274352805234,2228.027521066496
209,3.5336477403282704,2302.004049461277,2021,7,2,27658,07-21,3.496815683400503,2191.8465363630085
217,3.5191355718636275,2277.638900592332,2021,8,2,40349,08-21,3.4589714218693035,2205.9874225300764
225,3.3128160949749588,2025.5543411079666,2021,9,2,30741,09-21,3.461321343796542,2197.725966861023
232,3.5211694368142217,2253.1739585008845,2021,10,2,37302,10-21,3.337144716879681,2065.459291908944
240,3.070440088946255,1813.6316822185402,2021,11,2,22934,11-21,3.3208071436036364,2057.7665491753296
248,3.073485105929944,1816.4273882621733,2021,12,2,7003,12-21,3.331145637842401,2078.9325401888236
255,3.568683946609366,2320.722556230354,2022,1,2,32767,01-22,3.383343443289186,2141.9202999619615
263,3.1305019367940403,1910.0496858197837,2022,2,2,15437,02-22,3.3797880054739657,2143.2526821047563
271,3.2515314039416925,2021.9050671049029,2022,3,2,18255,03-22,3.1929528684584194,1969.9108910891089
279,3.1887561313861137,1968.9114388202472,2022,4,2,25090,04-22,3.1811544391666424,1981.2008911389407
287,3.1202077685170884,1963.2442480069396,2022,5,2,24209,05-22,3.1202077685170884,1963.2442480069396
303,,,2022,6,2,0,06-22,,
2,,,2019,4,3,2074,04-19,,
10,3.5603688680842263,2222.086037735849,2019,5,3,19875,05-19,3.5603688680842263,2222.086037735849
18,3.825848123840853,2438.8496596529603,2019,6,3,61261,06-19,3.8784760475920135,2454.649485496112
26,4.016424105185428,2535.4279438752656,2019,7,3,69203,07-19,3.8780293209812142,2456.7732736743687
34,3.547013449780312,2231.357179912845,2019,8,3,19276,08-19,3.925704732012107,2473.537339022092
42,3.941583625566153,2479.525327572004,2019,9,3,64337,09-19,3.7299482455023774,2351.570709609573
50,3.6171558122425496,2285.4475596395914,2019,10,3,89454,10-19,3.8088793534565326,2381.563592559678
58,4.0195707498320665,2437.7160330740253,2019,11,3,40878,11-19,4.0195707498320665,2437.7160330740253
66,,,2019,12,3,2283,12-19,,
74,,,2020,1,3,159,01-20,,
82,,,2020,2,3,2978,02-20,,
90,3.519527518439762,2176.610059947546,2020,3,3,32028,03-20,3.519527518439762,2176.610059947546
304,,,2020,4,3,0,04-20,,
105,3.696503573407363,2350.6149081704098,2020,5,3,18567,05-20,3.696503573407363,2350.6149081704098
113,3.520076200677035,2268.583466780873,2020,6,3,107408,06-20,3.520076200677035,2268.583466780873
305,,,2020,7,3,0,07-20,,
306,,,2020,8,3,0,08-20,,
307,,,2020,9,3,0,09-20,,
308,,,2020,10,3,0,10-20,,
148,,,2020,11,3,503,11-20,,
156,3.1430795821573096,1859.5831389320892,2020,12,3,15432,12-20,3.1430795821573096,1859.5831389320892
164,3.4090207999965867,2117.3783926291835,2021,1,3,72068,01-21,3.506350279923071,2162.443837635327
172,3.7250584174397616,2299.722410924719,2021,2,3,57704,02-21,3.7250584174397616,2299.722410924719
180,,,2021,3,3,407,03-21,,
309,,,2021,4,3,0,04-21,,
194,3.401111599596534,2151.5180572851805,2021,5,3,9636,05-21,3.401111599596534,2151.5180572851805
202,3.4723973217915622,2264.079975052773,2021,6,3,83376,06-21,3.4723973217915622,2264.079975052773
210,,,2021,7,3,3667,07-21,,
218,,,2021,8,3,1003,08-21,,
226,3.82011494293301,2412.8450087047927,2021,9,3,152215,09-21,3.82011494293301,2412.8450087047927
233,,,2021,10,3,335,10-21,,
241,3.541713297118961,2214.449286623572,2021,11,3,60487,11-21,3.541713297118961,2214.449286623572
310,,,2021,12,3,0,12-21,,
256,3.4131137047838354,2064.8081604555837,2022,1,3,31959,01-22,3.4131137047838354,2064.8081604555837
264,,,2022,2,3,3777,02-22,,
272,,,2022,3,3,13,03-22,,
280,3.4872352908007156,2211.933679554716,2022,4,3,40244,04-22,3.4872352908007156,2211.933679554716
288,3.511577415508705,2199.979804375355,2022,5,3,45802,05-22,3.511577415508705,2199.979804375355
311,,,2022,6,3,0,06-22,,
3,,,2019,4,4,5123,04-19,,
11,3.669854981897564,2726.281690140845,2019,5,4,21797,05-19,3.669854981897564,2726.281690140845
19,3.856268927447459,2828.7457982256697,2019,6,4,44862,06-19,3.8873948306806736,2861.1348611385806
27,3.9555352209423735,2909.8963254884547,2019,7,4,90080,07-19,3.908377101788823,2903.842364505502
35,3.8707885288076405,2959.4017944984457,2019,8,4,50822,08-19,3.9477974574374946,2942.6911302929993
43,3.9868634152751072,2968.254174712476,2019,9,4,82341,09-19,3.8151994559515017,2866.7059804883393
51,3.564458327397988,2673.439178001183,2019,10,4,67640,10-19,3.795398275930169,2819.824363357037
59,3.7934066893005176,2787.8774920145393,2019,11,4,72632,11-19,3.6452476183594418,2690.2259058339264
67,3.336449693921502,2342.909223414179,2019,12,4,17152,12-19,3.732473375973466,2689.6628558563066
75,3.8110084407085143,2650.3103059260734,2020,1,4,30138,01-20,3.552823766083945,2495.435256708796
83,3.2811152649753854,2358.4770011349224,2020,2,4,14979,02-20,3.564747605439695,2525.959253178706
91,3.303335608939418,2423.893566191614,2020,3,4,12139,03-20,3.303335608939418,2423.893566191614
98,,,2020,4,4,2301,04-20,,
106,3.6321477556072908,2628.0030953725154,2020,5,4,51367,05-20,3.6321477556072908,2628.0030953725154
114,3.7033074421730525,2724.1540404761226,2020,6,4,70066,06-20,3.6841587654188843,2680.2599424695854
120,3.7282869168351374,2667.2798699359632,2020,7,4,30139,07-20,3.7891847428233216,2730.335105331204
127,3.8374260484588274,2744.6708708339734,2020,8,4,162775,08-20,3.7937314178105828,2721.764186752415
134,3.755532277751952,2706.2575042547023,2020,9,4,134557,09-20,3.7818782935859696,2706.768385136099
141,3.700149601025427,2616.0577494944687,2020,10,4,67256,10-20,3.7165710748122893,2666.1225090917305
149,3.5048189541008448,2562.075376112987,2020,11,4,19542,11-20,3.639995752800502,2608.8849305847707
157,3.5961893689234588,2622.373549232497,2020,12,4,32052,12-20,3.5615864364481857,2569.7203700076834
165,3.561603817787168,2465.6656294392205,2021,1,4,14783,01-21,3.612199199537666,2570.8318350848826
173,3.6961884515699035,2564.3487845487844,2021,2,4,15015,02-21,3.563949035754162,2535.840806104148
181,3.5336709876845793,2545.2979529123277,2021,3,4,64433,03-21,3.544164743409203,2523.183371323858
187,3.384282994262271,2319.858578821656,2021,4,4,10048,04-21,3.5033759740791246,2533.7939553459823
195,3.47179769855903,2592.6729515050165,2021,5,4,23920,05-21,3.618991081163112,2628.3119877966205
203,3.6811911485456954,2670.120957247596,2021,6,4,94521,06-21,3.627148057751302,2656.9367190980433
211,3.5764552820049484,2667.5324788814446,2021,7,4,27464,07-21,3.656268074739067,2638.0328430043382
219,3.6532924516422316,2568.206380929886,2021,8,4,55039,08-21,3.6103251314957063,2644.1623462718735
227,3.5993685492903746,2671.1873119396373,2021,9,4,130942,09-21,3.61308799986517,2627.8822338085615
234,3.597279642199704,2537.292429189764,2021,10,4,26338,10-21,3.563585122022928,2603.1936426421107
242,3.3256667560021773,2297.203167691257,2021,11,4,23424,11-21,3.3256667560021773,2297.203167691257
249,,,2021,12,4,4396,12-21,,
257,3.407651331888023,2440.132261727964,2022,1,4,11447,01-22,3.407651331888023,2440.132261727964
265,3.268379808277168,2251.6900722127634,2022,2,4,17033,02-22,3.364649852601981,2347.2000326850793
273,3.3997317765272976,2364.412687251605,2022,3,4,32710,03-22,3.3918415926478978,2362.9182296657
281,3.461600219982519,2432.708197837102,2022,4,4,26446,04-22,3.4190550673912385,2404.054768836039
289,3.396552134693647,2428.649689667762,2022,5,4,21912,05-22,3.396552134693647,2428.649689667762
294,,,2022,6,4,3554,06-22,,
4,2.8434535818777666,2559.2522323668104,2019,4,5,9967,04-19,2.8434535818777666,2559.2522323668104
12,3.2839959054715986,2239.8009253779524,2019,5,5,92935,05-19,3.251799403912041,2344.055771014477
20,3.265030611461583,2436.6675259946724,2019,6,5,81459,06-19,3.3857111940187132,2391.1006547372162
28,3.5873405663983884,2499.3129613751858,2019,7,5,95638,07-19,3.3411646717015016,2435.741412426381
36,3.1769539508854896,2377.4570392394517,2019,8,5,105608,08-19,3.3687866136448585,2445.934386423673
44,3.3582616912355703,2480.745830127838,2019,9,5,61093,09-19,3.222933760852301,2388.4287128499795
52,3.0449323271417517,2154.629310794595,2019,10,5,19167,10-19,3.0449323271417517,2154.629310794595
60,,,2019,11,5,944,11-19,,
68,2.9410983730320353,1854.3036128604574,2019,12,5,6034,12-19,2.9410983730320353,1854.3036128604574
76,3.3146408381022474,2343.477906579397,2020,1,5,38043,01-20,3.158238639690221,2255.190961929978
84,3.0667638464018414,2236.663577934624,2020,2,5,50722,02-20,3.0667638464018414,2236.663577934624
92,,,2020,3,5,856,03-20,,
99,3.0939763825107818,2066.898877242717,2020,4,5,53618,04-20,3.0939763825107818,2066.898877242717
107,2.9268897092149393,2077.4092055810124,2020,5,5,58269,05-20,3.2392498593641865,2272.7489411545025
115,3.449276663011729,2453.9211698061367,2020,6,5,123747,06-20,3.2914556661847536,2338.1672016214984
121,3.303466568095584,2344.266550742522,2020,7,5,142622,07-20,3.317632330862377,2346.7113563287417
128,3.250700308849947,2286.1207992307873,2020,8,5,213205,08-20,3.2790194241792188,2310.229078089907
135,3.2941439946396884,2311.9218004280524,2020,9,5,168671,09-20,3.232780151135956,2260.573722275903
142,3.018862601539319,2047.6112914182202,2020,10,5,66245,10-20,3.163706781894679,2240.808149992827
150,2.8278437615283103,2262.561821479817,2020,11,5,36937,11-20,2.913834365132804,2115.4072799774153
158,2.5420191640108456,2022.5555555555557,2020,12,5,10170,12-20,2.754204866373726,2196.4343728848858
166,2.700745547627839,2132.310157884725,2021,1,5,10514,01-21,2.700745547627839,2132.310157884725
174,,,2021,2,5,3708,02-21,,
182,2.9956864465131257,2198.1260656115414,2021,3,5,56423,03-21,2.9956864465131257,2198.1260656115414
188,3.09541913910253,2058.7764693512777,2021,4,5,28533,04-21,3.0457544872535953,2149.49624725014
196,3.059762402558785,2147.950770087953,2021,5,5,100508,05-21,3.3135700671530306,2282.146429600807
204,3.527241053243049,2415.874453773591,2021,6,5,148519,06-21,3.2802016111814543,2317.4799649769716
212,2.8250280520915854,2393.443424884908,2021,7,5,31931,07-21,3.388010256235007,2400.1668290183534
220,3.370606129874485,2386.5222653809237,2021,8,5,155241,08-21,3.2051414565281338,2307.9744256714716
228,2.9864070915608667,2067.0678827992574,2021,9,5,61945,09-21,3.250784471275922,2287.6329633912696
235,3.0980322864077596,2171.661928306551,2021,10,5,14562,10-21,2.9963052814196742,2081.006383234975
243,2.8632062049468034,2010.9917216004906,2021,11,5,6523,11-21,2.958010779346719,2060.7453095086153
250,2.9032149086808716,2010.9622757955642,2021,12,5,25925,12-21,2.872406024209504,2004.935444770841
258,2.852800155828234,1999.740087053453,2022,1,5,37678,01-22,2.854856954069802,1969.1082251512232
266,2.8231333612025544,1908.7129949293344,2022,2,5,37076,02-22,2.9313051203295015,2007.5889790996785
274,3.071668617768763,2087.3870805301535,2022,3,5,49646,03-22,2.9587749336953126,2053.8381669626997
282,2.9481198493359257,2122.6005034426594,2022,4,5,54028,04-22,3.0773189591666035,2181.5100368597746
290,3.2105633456927474,2325.667865597416,2022,5,5,54493,05-22,3.0704945204748766,2200.769520468225
295,2.9836874338216357,1981.2022443254273,2022,6,5,11763,06-22,2.9836874338216357,1981.2022443254273
5,0.9665093262342008,1218.0272414838776,2019,4,6,19786,04-19,0.9665093262342008,1218.0272414838776
13,0.7168071289657448,1042.764613552717,2019,5,6,55428,05-19,0.7654320871967654,1077.896401435488
21,0.7302964248623182,1055.2997125256672,2019,6,6,36525,06-19,0.7111392692083345,1051.4943161286437
29,0.6863374579875241,1059.9308691504195,2019,7,6,40879,07-19,0.6924182737469815,1065.3524733681334
37,0.6670953721883038,1078.490204828417,2019,8,6,44818,08-19,0.63665746599662,1048.5991963947147
45,0.5706511576016545,1013.547526003694,2019,9,6,51435,09-19,0.6281299180015495,1033.0054431174362
53,0.669018825057934,997.9402919510711,2019,10,6,29594,10-19,0.6407979654979702,1007.855292157179
61,0.8721372735514851,1007.9090605706658,2019,11,6,11986,11-19,0.8092265341634195,1029.5997840865004
