,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
1405,1201824000000,2008-02-01,2,2008,-67.14906748793423,-0.6737364630896411,298.1692308187485,133.03750276565552,2
2990,1204329600000,2008-03-01,3,2008,-66.25075220381471,-0.22457882102988036,214.91023194789886,171.27500295639038,2
350,1204329600000,2008-03-01,3,2008,-67.14906748793423,-1.1228941051494017,306.0884658396244,142.8325023651123,2
878,1204329600000,2008-03-01,3,2008,-66.25075220381471,-1.1228941051494017,283.798114836216,166.84642519269673,2
1406,1204329600000,2008-03-01,3,2008,-67.14906748793423,-0.6737364630896411,294.4827016592026,142.21250295639038,2
86,1204329600000,2008-03-01,3,2008,-67.59822512999399,-1.1228941051494017,281.03906348347664,132.52499802907306,2
3782,1204329600000,2008-03-01,3,2008,-66.69990984587447,0.22457882102988036,246.40164750814438,159.1333293914795,2
4046,1204329600000,2008-03-01,3,2008,-66.25075220381471,0.22457882102988036,225.23554372787476,150.93124556541443,2
2726,1204329600000,2008-03-01,3,2008,-66.69990984587447,-0.22457882102988036,246.09750877320766,153.37250118255614,2
3518,1204329600000,2008-03-01,3,2008,-67.14906748793423,0.22457882102988036,283.6325295418501,167.1674976348877,2
1670,1204329600000,2008-03-01,3,2008,-66.69990984587447,-0.6737364630896411,269.07555881142616,166.51428318023682,2
1934,1204329600000,2008-03-01,3,2008,-66.25075220381471,-0.6737364630896411,253.06976792961362,156.42083136240643,2
2462,1204329600000,2008-03-01,3,2008,-67.14906748793423,-0.22457882102988036,289.27048659324646,163.91250197092694,2
1142,1204329600000,2008-03-01,3,2008,-67.59822512999399,-0.6737364630896411,277.245124399662,143.375,2
614,1204329600000,2008-03-01,3,2008,-66.69990984587447,-1.1228941051494017,300.77696794271475,146.21666765213013,2
2991,1207008000000,2008-04-01,4,2008,-66.25075220381471,-0.22457882102988036,203.9082447066903,175.49999713897705,2
1407,1207008000000,2008-04-01,4,2008,-67.14906748793423,-0.6737364630896411,234.29394064843655,174.7499942779541,2
