,pai,rh100,year,month,polygon_id,number,date,pai_interpolated
248,3.0077118388767725,1785.2438581797878,2021,12,2,7164,12-21,3.28028574392256
255,3.5318760231731745,2300.3017358490565,2022,1,2,33125,01-22,3.331237226914388
263,3.057615364206827,1874.5537012453378,2022,2,2,15819,02-22,3.329970513487875
271,3.2016760554659496,1996.8354628281847,2022,3,2,18549,03-22,3.1414963184108253
279,3.149785923759803,1949.67839433294,2022,4,2,25410,04-22,3.141154330205753
287,3.086363121890393,1945.3786134247919,2022,5,2,24492,05-22,3.1186578875411026
303,,,2022,6,2,0,06-22,
2,3.8098683394218793,2562.2944578313254,2019,4,3,2075,04-19,
10,3.532497225323156,2207.559886216189,2019,5,3,20038,05-19,3.7402565414217532
18,3.805493091074087,2427.7156052661485,2019,6,3,61601,06-19,3.8572530373976113
26,3.996660399129626,2524.7897226495666,2019,7,3,69551,07-19,3.8570343255227137
34,3.52057074773189,2217.5839081643157,2019,8,3,19426,08-19,3.907021978420496
42,3.926728718509002,2471.7285437795153,2019,9,3,64585,09-19,3.712753159733351
50,3.600540043774236,2276.558502531012,2019,10,3,89885,10-19,3.7933428975874945
58,4.005793505070838,2430.649733076567,2019,11,3,41023,11-19,3.7159832650796205
66,3.0641420891635778,1798.9525862068965,2019,12,3,2320,12-19,3.95045992038666
74,2.606483341383648,1729.5094339622642,2020,1,3,159,01-20,2.8790655242963874
82,2.7516184911472434,1761.824694618686,2020,2,3,3029,02-20,3.432147849043346
90,3.500217889768104,2166.6861941572756,2020,3,3,32211,03-20,3.435873179824217
304,,,2020,4,3,0,04-20,3.570251742286708
105,3.691580222009009,2347.9533695476794,2020,5,3,18593,05-20,3.5246171502012835
113,3.4959236998443095,2255.250023107496,2020,6,3,108190,06-20,3.5246171502012835
305,,,2020,7,3,0,07-20,3.4959236998443095
306,,,2020,8,3,0,08-20,
307,,,2020,9,3,0,09-20,
308,,,2020,10,3,0,10-20,2.30640596553167
148,2.30640596553167,1395.278310940499,2020,11,3,521,11-20,3.075902281469838
156,3.101511197509684,1838.951964228681,2020,12,3,15655,12-20,3.3209845335782346
164,3.3754285577773286,2100.0338245189996,2021,1,3,72817,01-21,3.477312467055648
172,3.706662102336625,2290.289367058053,2021,2,3,57999,02-21,3.520796355573514
180,3.0491728340508475,2146.782082324455,2021,3,3,413,03-21,3.702013347495119
309,,,2021,4,3,0,04-21,3.373849707392219
194,3.387709298988083,2144.59503875969,2021,5,3,9675,05-21,3.3261181635969104
202,3.3192903083947924,2179.5107019272637,2021,6,3,87274,06-21,3.324050996251929
210,3.2700758260584166,2119.2467007810396,2021,7,3,3713,07-21,3.3176319215914
218,3.3489722098145176,2136.6220472440946,2021,8,3,1016,08-21,3.7894627471069473
226,3.8050092719002993,2404.882839439126,2021,9,3,152833,09-21,3.800130294077173
233,2.9450939725565477,1757.327380952381,2021,10,3,336,10-21,3.7226185770945346
241,3.5200930159197865,2202.7070378582575,2021,11,3,60885,11-21,3.516937241290653
310,,,2021,12,3,0,12-21,3.4683467445507055
256,3.371049819430839,2043.401933232451,2022,1,3,32381,01-22,3.313516768263841
264,2.8265910678355985,1791.9150548876112,2022,2,3,3826,02-22,3.313147505001902
272,2.2846925107692306,1112.1538461538462,2022,3,3,13,03-22,3.4046361195010713
280,3.4594865515363966,2196.8881880451386,2022,4,3,40586,04-22,3.4745796530006787
288,3.4881947490134797,2187.462278876171,2022,5,3,46128,05-22,3.4747580386460073
311,,,2022,6,3,0,06-22,
3,3.798445515226984,3010.5780853967635,2019,4,4,5129,04-19,
11,3.6584469535411697,2718.78059264679,2019,5,4,21868,05-19,3.786564080897409
19,3.8475110769246696,2823.052147034624,2019,6,4,44969,06-19,3.879030308463513
27,3.948181529237472,2905.17567283082,2019,7,4,90253,07-19,3.9010206825426805
35,3.864677263332972,2955.12501227729,2019,8,4,50907,08-19,3.942317246752292
