,month,polygon_id,year,precipitation,ET,PET,datetime,water_deficit
705,7,7,2013,0.3544767269793038,24.71400106343018,221.2513996675746,2013-07-01,-220.8969229405953
706,7,7,2014,0.01835257017459625,35.275259313156916,207.52599013032253,2014-07-01,-207.50763756014794
707,7,7,2015,0.3017329848681887,33.373650880845425,205.58266402059712,2015-07-01,-205.28093103572894
708,7,7,2016,0.0,26.487863384401745,222.69503909604097,2016-07-01,-222.69503909604097
709,7,7,2017,0.0036042715494449323,26.68946297822826,217.3656587358372,2017-07-01,-217.36205446428775
710,7,7,2018,0.005160081654022901,29.95438874728273,216.61893766832844,2018-07-01,-216.61377758667442
711,7,7,2019,0.0,30.032447853366406,216.9317638215105,2019-07-01,-216.9317638215105
712,7,7,2020,1.0201537280868676,56.01235801674534,199.1673949667491,2020-07-01,-198.14724123866225
713,7,7,2021,0.14075721907912594,24.832862326554316,220.3963499000748,2021-07-01,-220.25559268099568
714,7,7,2022,0.0,30.15577434927189,219.58317885610947,2022-07-01,-219.58317885610947
715,7,8,2010,19.826490834690876,62.583830202318204,151.01356329016622,2010-07-01,-131.18707245547535
716,7,8,2011,18.174515997347104,72.55422815434883,153.8559084231863,2011-07-01,-135.6813924258392
717,7,8,2012,16.31933375846141,55.99853960047952,153.91849118465376,2012-07-01,-137.59915742619233
718,7,8,2013,28.3761938648829,67.39409957856016,155.83732855970223,2013-07-01,-127.46113469481932
719,7,8,2014,19.601540419174,59.8650491819915,145.74455797572278,2014-07-01,-126.14301755654878
720,7,8,2015,31.18974206636034,66.97303313886904,146.56231500622025,2015-07-01,-115.37257293985991
721,7,8,2016,24.91098200423377,59.53974880045266,149.9921999052198,2016-07-01,-125.08121790098602
722,7,8,2017,28.098804786347397,59.455720512181294,146.89546208774036,2017-07-01,-118.79665730139295
723,7,8,2018,16.127132666796467,64.54408557822858,155.59389291785885,2018-07-01,-139.4667602510624
724,7,8,2019,22.765374348010752,63.66496958382245,152.59106202054843,2019-07-01,-129.8256876725377
725,7,8,2020,18.096652116286435,91.34030259306653,159.9882127355713,2020-07-01,-141.89156061928486
726,7,8,2021,9.779834430684488,49.33437839034108,152.99904026524098,2021-07-01,-143.21920583455648
727,7,8,2022,14.804094671966224,59.00193399470029,154.59512792504822,2022-07-01,-139.791033253082
728,8,1,2010,224.91666875115544,124.01308994420299,155.8793834901173,2010-08-01,69.03728526103814
729,8,1,2011,210.76477461164592,133.90433802356407,164.4147713371875,2011-08-01,46.35000327445843
730,8,1,2012,222.03743340883278,144.56665362926313,182.02938505996377,2012-08-01,40.00804834886901
