,month,polygon_id,year,datetime,date,precipitation,radiation,temperature,fpar,PET,P-PET
535,4,1,2008,2008-04-01,04-08,256.93150022206095,13871487.05243209,28.98572796934869,85.87134909596662,131.2217756563422,125.70972456571874
536,4,1,2009,2009-04-01,04-09,386.2453714751474,12781070.933670247,27.911785095320653,84.43181818181819,121.52622328279581,264.7191481923516
537,4,1,2010,2010-04-01,04-10,330.77431619882736,12658828.893240683,28.505636265805784,85.80684596577017,134.79130584264567,195.9830103561817
538,4,1,2011,2011-04-01,04-11,326.9954449693688,12198719.012002528,28.335089820359315,83.27181208053692,102.70572614753624,224.28971882183257
539,4,1,2012,2012-04-01,04-12,359.73832521910015,13477608.626658244,28.18558880308883,84.40469061876247,108.32465515352044,251.4136700655797
540,4,1,2013,2013-04-01,04-13,355.3012788221946,13705533.552747946,28.81234014679785,88.33750949126804,184.1934483807279,171.10783044146672
541,4,1,2014,2014-04-01,04-14,447.7278175363041,13172144.238787113,28.395365448505014,85.94431554524363,139.45528959000904,308.27252794629504
542,4,1,2015,2015-04-01,04-15,409.7448155263972,12747364.466203412,28.915506035283222,80.43243243243244,117.50154205917279,292.2432734672244
543,4,1,2016,2016-04-01,04-16,418.88410187219415,12901548.790903348,29.681350844277706,86.9484126984127,104.09045477016682,314.7936471020273
544,4,1,2017,2017-04-01,04-17,298.7821179210424,13013301.81427669,29.130997979798007,86.7532299741602,125.67213914385492,173.1099787771875
545,4,1,2018,2018-04-01,04-18,273.0928002845164,12229940.512950094,29.12406504065044,86.56400602409639,118.16856298510146,154.92423729941493
546,4,1,2019,2019-04-01,04-19,349.6325606706017,13537178.689829437,30.185582959641287,83.83636363636364,105.16123079848,244.47132987212171
547,4,1,2020,2020-04-01,04-20,300.1686539618335,13428145.28363866,29.53828112449802,85.28138528138528,119.30889349773393,180.85976046409957
548,4,1,2021,2021-04-01,04-21,420.6439056083212,12002267.564118762,29.376895161290353,87.70902394106814,135.8751909814198,284.7687146269014
549,4,1,2022,2022-04-01,04-22,466.20048950054337,12735927.147188881,29.705538855488783,88.08167539267016,124.80388709376312,341.39660240678023
550,4,2,2001,2001-04-01,04-01,313.2960696038112,13548652.638349514,29.044827511508288,85.25307262569832,120.48620876863964,192.80986083517155
551,4,2,2002,2002-04-01,04-02,370.48930779989195,12828691.641990291,28.52123991507434,83.46329014526894,118.63531431504632,251.85399348484563
552,4,2,2003,2003-04-01,04-03,311.23767176921507,12579588.850728156,30.16002675227397,81.81750465549348,117.14454598994688,194.09312577926818
553,4,2,2004,2004-04-01,04-04,282.770799442113,13799661.31067961,28.56085322461085,86.49080372889897,151.69875248976362,131.07204695234938
554,4,2,2005,2005-04-01,04-05,392.84270835371274,12251693.452669904,28.779444444444476,85.53065134099617,128.9089811237899,263.93372722992285
555,4,2,2006,2006-04-01,04-06,323.34634068930177,13883291.23907767,29.224973491773337,83.45267857142858,163.84383165316456,159.5025090361372
556,4,2,2007,2007-04-01,04-07,378.66350914508973,12711322.898058252,28.284157594608633,84.50564015792443,149.07858834244547,229.58492080264426
557,4,2,2008,2008-04-01,04-08,258.7035698777842,14066538.952669904,29.6032112932605,87.85844907407407,155.7422756266789,102.96129425110533
558,4,2,2009,2009-04-01,04-09,252.31560334461986,13626594.504854368,29.3348356807512,85.9781914893617,156.96261794256532,95.35298540205454
