,pai,rh100,year,month,polygon_id,number,datetime,date
105,4.109898846839551,2702.474395732889,2020.0,5.0,3.0,9335,2020-05-01,05-20
113,4.109898846839551,2702.474395732889,2020.0,6.0,3.0,53096,2020-06-01,06-20
311,4.090850919491864,2691.238323037517,2020.0,7.0,3.0,0,2020-07-01,07-20
312,,,2020.0,8.0,3.0,0,2020-08-01,08-20
313,,,2020.0,9.0,3.0,0,2020-09-01,09-20
314,3.3304727758510637,1983.1063829787233,2020.0,10.0,3.0,0,2020-10-01,10-20
148,3.8100393693323658,2267.9402031930335,2020.0,11.0,3.0,94,2020-11-01,11-20
156,4.024540683156994,2462.8059488093004,2020.0,12.0,3.0,6796,2020-12-01,12-20
164,4.109236472729119,2531.4886477366963,2021.0,1.0,3.0,35774,2021-01-01,01-21
172,4.139316636627772,2559.586338659761,2021.0,2.0,3.0,27372,2021-02-01,02-21
180,4.234682080680746,2636.5003628710356,2021.0,3.0,3.0,186,2021-03-01,03-21
315,3.9607459154488267,2545.0176627147353,2021.0,4.0,3.0,0,2021-04-01,04-21
194,4.018322931032649,2640.8112328767124,2021.0,5.0,3.0,3947,2021-05-01,05-21
202,4.0159939577368275,2640.0358275552835,2021.0,6.0,3.0,39853,2021-06-01,06-21
210,4.020292044498207,2647.8205624233274,2021.0,7.0,3.0,1919,2021-07-01,07-21
218,4.300712975162296,2728.1245343470687,2021.0,8.0,3.0,616,2021-08-01,08-21
226,4.308872112173539,2730.3846284091796,2021.0,9.0,3.0,76118,2021-09-01,09-21
233,4.247901564208174,2689.093446301896,2021.0,10.0,3.0,44,2021-10-01,10-21
241,4.081810827099229,2575.9561699490428,2021.0,11.0,3.0,29000,2021-11-01,11-21
316,4.070049101407809,2524.910154992411,2021.0,12.0,3.0,0,2021-12-01,12-21
256,3.9742047746905063,2391.022503082614,2022.0,1.0,3.0,14486,2022-01-01,01-22
264,3.9742047746905063,2391.022503082614,2022.0,2.0,3.0,1734,2022-02-01,02-22
317,3.950969695826395,2474.986245917475,2022.0,3.0,3.0,0,2022-03-01,03-22
279,4.02083948072793,2521.804486251809,2022.0,4.0,3.0,20005,2022-04-01,04-22
287,4.051655275056389,2600.3496112996827,2022.0,5.0,3.0,21455,2022-05-01,05-22
293,4.1134513148599385,2639.7745820750006,2022.0,6.0,3.0,31604,2022-06-01,06-22
299,4.178286678341199,2702.3572368486143,2022.0,7.0,3.0,31047,2022-07-01,07-22
300,,,2022.0,8.0,3.0,38422,2022-08-01,08-22
3,,,2019.0,4.0,4.0,2329,2019-04-01,04-19
11,4.2686124345919545,3182.0052278230246,2019.0,5.0,4.0,11397,2019-05-01,05-19
19,4.328696999922453,3205.6418544037574,2019.0,6.0,4.0,22618,2019-06-01,06-19
27,4.3349044291502805,3258.1981544545756,2019.0,7.0,4.0,43487,2019-07-01,07-19
35,4.361505936267576,3290.60995994489,2019.0,8.0,4.0,24925,2019-08-01,08-19
43,4.250917791915365,3250.4489669463464,2019.0,9.0,4.0,41187,2019-09-01,09-19
51,4.24470353353844,3208.568120027279,2019.0,10.0,4.0,32334,2019-10-01,10-19
59,4.131074278332238,3112.284377778637,2019.0,11.0,4.0,36454,2019-11-01,11-19
67,4.227231095946548,3103.6290793672233,2019.0,12.0,4.0,8813,2019-12-01,12-19
75,4.107761336830572,2912.2098797445788,2020.0,1.0,4.0,13964,2020-01-01,01-20
